#ID	Name
G1	yneL
G3443	yejB
G3444	yneG
G3445	yidG
G3446	decoy111
G3447	moeB
G3448	modF
G3449	mglC
G3450	yebZ
G3451	yobH
G3452	ftsN
G3453	afuC
G3454	bhsA
G3455	ydgI
G3456	tdk
G3457	galM
G3458	fsr
G3459	aceE
G3460	deoB
G3461	ycbZ
G3462	artM
G3463	yneM
G3464	pflC
G3465	ykfH
G3466	aceF
G3467	dkgB
G3468	flxA
G3469	yfjV
G3470	chbC
G3471	hyaC
G3472	fliH
G3473	rrsH
G3474	ldrD
G3475	gabT
G3476	lpxB
G3477	ucpA
G3478	ybhT
G3479	ecpD
G3480	yfdV
G3481	kch
G3482	ybjP
G3483	paaH
G3484	aroA
G3485	folX
G3486	uxaA
G3487	fdoG
G3488	dppD
G3489	serT
G3490	ygcO
G3491	fdoI
G3492	dcyD
G3493	decoy80
G3494	cbpM
G3495	minD
G3496	hfq
G3497	codA
G3498	flu
G3499	glgX
G3500	yjjN
G3501	yehB
G3502	ltaE
G3503	gst
G3504	insB
G3505	yjgX
G3506	hydN
G3507	msyB
G3508	ycbL
G3509	yibD
G3510	yqiC
G3511	yjiY
G3512	yddH
G3513	ryeB
G3514	greB
G3515	yjiG
G3516	yaeJ
G3517	rnpA
G3518	essQ
G3519	udp
G3520	ybhF
G3521	ybcJ
G3522	lacZ
G3523	glxK
G3524	ypjC
G3525	ynfO
G3526	cysZ
G3527	rluA
G3528	hypE
G3529	gcvH
G3530	ynfG
G3531	dinJ
G3532	yfgA
G3533	yfdT
G3534	lysC
G3535	dnaX
G3536	yidK
G3537	nrfG
G3538	panD
G3539	yjdM
G3540	sapA
G3541	yfdE
G3542	decoy41
G3543	nfsA
G3544	rhaD
G3545	qseC
G3546	xylB
G3547	yjjV
G3548	pncA
G3549	rluF
G3550	omrB
G3551	fryB
G3552	panB
G3553	rmf
G3554	pstC
G3555	valW
G3556	ybdM
G3557	sseB
G3558	recJ
G3559	sieB
G3560	yjhS
G3561	frdD
G3562	sdhD
G3563	ydcP
G3564	yihP
G3565	atpB
G3566	yceD
G3567	decoy196
G3568	paaF
G3569	rsmE
G3570	ycbB
G3571	accC
G3572	yjjA
G3573	ycgI
G3574	tesB
G3575	yaeF
G3576	yiaT
G3577	torI
G3578	cca
G3579	yjbG
G3580	ypdI
G3581	yaaX
G3582	acrF
G3583	ybaN
G3584	pnp
G3585	yagJ
G3586	nikA
G3587	decoy180
G3588	yehU
G3589	mltC
G3590	rhtB
G3591	holE
G3592	ydfZ
G3593	glnS
G3594	murA
G3595	ssuD
G3596	metL
G3597	hybA
G3598	betB
G3599	ybhR
G3600	decoy186
G3601	yacC
G3602	yafT
G3603	ldcC
G3604	yicH
G3605	hybD
G3606	folB
G3607	yccA
G3608	ydhU
G3609	torD
G3610	napC
G3611	yqeI
G3612	decoy33
G3613	hokB
G3614	rluD
G3615	yehK
G3616	narW
G3617	nrdF
G3618	thyA
G3619	rbsB
G3620	yhjQ
G3621	cysH
G3622	leuA
G3623	yihY
G3624	erfK
G3625	dapD
G3626	yfjI
G3627	yfbO
G3628	arsB
G3629	ccmB
G3630	yhjH
G3631	rpsI
G3632	ydcX
G3633	micC
G3634	trmI
G3635	ydhO
G3636	ykgC
G3637	ydaQ
G3638	ogt
G3639	decoy46
G3640	amiA
G3641	sdaC
G3642	phnC
G3643	csiE
G3644	ybeD
G3645	ygbM
G3646	gspB
G3647	cheA
G3648	ryeD
G3649	yjtD
G3650	maoC
G3651	asd
G3652	selC
G3653	yhcB
G3654	xseB
G3655	rof
G3656	caiC
G3657	rplX
G3658	phnO
G3659	xylA
G3660	ydeT
G3661	xerD
G3662	ilvM
G3663	ybaB
G3664	rnc
G3665	yliL
G3666	yhdJ
G3667	yahL
G3668	borD
G3669	frvA
G3670	rfaY
G3671	ychE
G3672	ansP
G3673	priC
G3674	iscX
G3675	fliF
G3676	ftnA
G3677	rplU
G3678	yfdX
G3679	fliP
G3680	ddpB
G3681	lsrK
G3682	argX
G3683	ynjI
G3684	typA
G3685	mokB
G3686	rnb
G3687	ydiO
G3688	ftsZ
G3689	rhlE
G3690	ppa
G3691	ompX
G3692	yddW
G3693	hemB
G3694	pbl
G3695	kdpA
G3696	ycdY
G3697	decoy106
G3698	yebW
G3699	lptA
G3700	yqjA
G3701	sirA
G3702	fhuB
G3703	alkB
G3704	lfhA
G3705	yibH
G3706	yhdX
G3707	decoy107
G3708	ccmG
G3709	cobT
G3710	yceQ
G3711	fdrA
G3712	ybeX
G3713	php
G3714	rumB
G3715	fabD
G3716	yigP
G3717	yegK
G3718	hpt
G3719	ybjE
G3720	ribE
G3721	ubiB
G3722	gspH
G3723	yghX
G3724	tolA
G3725	fecE
G3726	hofO
G3727	hypC
G3728	pgl
G3729	atoE
G3730	gntK
G3731	fdnI
G3732	yceK
G3733	yfdR
G3734	wzzE
G3735	cbrB
G3736	ymfE
G3737	tfaE
G3738	dapB
G3739	napG
G3740	yhhK
G3741	yfiF
G3742	galK
G3743	decoy166
G3744	elaD
G3745	yibL
G3746	yqiH
G3747	rpoC
G3748	galP
G3749	lomR
G3750	tesA
G3751	glpD
G3752	yhiS
G3753	yggI
G3754	osmY
G3755	carB
G3756	bioD
G3757	matB
G3758	yfdK
G3759	decoy73
G3760	ysaC
G3761	ydfR
G3762	yhgF
G3763	yfbL
G3764	psrN
G3765	ycaC
G3766	manZ
G3767	decoy131
G3768	nanK
G3769	yoaG
G3770	ycbS
G3771	rihA
G3772	ftsW
G3773	torT
G3774	yhaB
G3775	chpR
G3776	yjjX
G3777	yiiM
G3778	serU
G3779	ycaK
G3780	ydhZ
G3781	ynjB
G3782	phnG
G3783	yedV
G3784	frvB
G3785	narI
G3786	menB
G3787	yfhB
G3788	ypaA
G3789	decoy172
G3790	ygcS
G3791	yeiP
G3792	astE
G3793	decoy137
G3794	yddK
G3795	ytfG
G3796	yaiS
G3797	ycbW
G3798	moaE
G3799	yrhD
G3800	umuD
G3801	ybcK
G3802	yrbF
G3803	yqcA
G3804	rpsH
G3805	fadH
G3806	leuB
G3807	holA
G3808	ybhI
G3809	yfbN
G3810	sucD
G3811	yjhR
G3812	glcA
G3813	gltD
G3814	appB
G3815	bax
G3816	aat
G3817	hemA
G3818	tolC
G3819	yceI
G3820	yegD
G3821	eutK
G3822	htrE
G3823	hrpB
G3824	ynhG
G3825	fimI
G3826	yfjG
G3827	hisR
G3828	lamB
G3829	thiG
G3830	rplC
G3831	nuoF
G3832	dacB
G3833	decoy165
G3834	trkA
G3835	phoH
G3836	envC
G3837	rfaF
G3838	rtn
G3839	nmpC
G3840	paaG
G3841	ybfA
G3842	ydfA
G3843	fliG
G3844	apaG
G3845	tolQ
G3846	yjfP
G3847	decoy157
G3848	ygiT
G3849	ycbK
G3850	aegA
G3851	creC
G3852	ybiR
G3853	spr
G3854	mug
G3855	ybgP
G3856	ydcJ
G3857	cobB
G3858	yciS
G3859	pheP
G3860	trmD
G3861	nuoA
G3862	cspD
G3863	yccK
G3864	yeiR
G3865	dgoT
G3866	yibU
G3867	yccJ
G3868	holD
G3869	atpH
G3870	xylH
G3871	ompA
G3872	ynbD
G3873	ydjN
G3874	decoy149
G3875	gsiB
G3876	sgcQ
G3877	yddL
G3878	ymfA
G3879	glpT
G3880	osmF
G3881	ydfB
G3882	yeeA
G3883	yjfM
G3884	hrpA
G3885	exuT
G3886	yfeN
G3887	yciN
G3888	ymfO
G3889	priB
G3890	ribB
G3891	trg
G3892	uraA
G3893	allD
G3894	purK
G3895	ycbR
G3896	nagE
G3897	yhfU
G3898	gsiA
G3899	ugd
G3900	yibV
G3901	plsC
G3902	dtd
G3903	ynjE
G3904	dksA
G3905	yoaE
G3906	acnA
G3907	scpB
G3908	nfi
G3909	smpB
G3910	hflC
G3911	ybjC
G3912	hsrA
G3913	yaeH
G3914	ydiH
G3915	yagG
G3916	ybgL
G3917	ushA
G3918	yggG
G3919	nagD
G3920	rcsC
G3921	zapA
G3922	dsrA
G3923	setC
G3924	etp
G3925	decoy69
G3926	yiiR
G3927	aroF
G3928	proA
G3929	ileX
G3930	ycgF
G3931	rhsD
G3932	ygaY
G3933	yneE
G3934	eutD
G3935	sohB
G3936	yeiG
G3937	ttcA
G3938	hycH
G3939	lpxM
G3940	pstB
G3941	rpmI
G3942	clcA
G3943	kefF
G3944	ydeQ
G3945	ychJ
G3946	yghD
G3947	fklB
G3948	ivy
G3949	ackA
G3950	rng
G3951	aceK
G3952	prmC
G3953	galE
G3954	astC
G3955	tbpA
G3956	gor
G3957	tap
G3958	mnmE
G3959	basS
G3960	sad
G3961	mgrB
G3962	hisD
G3963	mrcB
G3964	yggD
G3965	tsgA
G3966	sufE
G3967	arpB
G3968	yedS
G3969	ttdT
G3970	tfaX
G3971	pspA
G3972	ydeH
G3973	cysD
G3974	decoy58
G3975	potB
G3976	tomB
G3977	rsuA
G3978	murF
G3979	sapF
G3980	lafU
G3981	rimM
G3982	feaB
G3983	yeaR
G3984	decoy177
G3985	lspA
G3986	yeiA
G3987	ycjR
G3988	ygdQ
G3989	gspD
G3990	nrdA
G3991	arnF
G3992	hcaB
G3993	adrA
G3994	gcd
G3995	rsxE
G3996	yadL
G3997	ybhS
G3998	emrB
G3999	thiK
G4000	tatE
G4001	yqfE
G4002	yrfF
G4003	dmsC
G4004	sgbE
G4005	fhuC
G4006	ydaN
G4007	rfaQ
G4008	ymfD
G4009	gpmM
G4010	decoy144
G4011	ispD
G4012	nadC
G4013	decoy64
G4014	gudP
G4015	decoy103
G4016	ugpE
G4017	yicS
G4018	rsxC
G4019	ilvI
G4020	sdhB
G4021	insM
G4022	ygdE
G4023	argK
G4024	ispE
G4025	ycfM
G4026	recR
G4027	recA
G4028	ygeQ
G4029	leuP
G4030	mdtN
G4031	hyfJ
G4032	caiB
G4033	murB
G4034	valV
G4035	narK
G4036	ryfB
G4037	yihG
G4038	yfjY
G4039	ryjA
G4040	purC
G4041	tauC
G4042	lolC
G4043	ycjS
G4044	decoy184
G4045	yegL
G4046	acpS
G4047	treC
G4048	rplY
G4049	mobB
G4050	yjeS
G4051	yigM
G4052	yfaV
G4053	apaH
G4054	ypfI
G4055	gshA
G4056	yebG
G4057	hycF
G4058	frdC
G4059	rffC
G4060	yjbI
G4061	pphB
G4062	hemD
G4063	narG
G4064	ybdR
G4065	argU
G4066	serS
G4067	hspQ
G4068	uspG
G4069	bioC
G4070	hcaT
G4071	fimD
G4072	pstA
G4073	yncD
G4074	cirA
G4075	yifL
G4076	hemH
G4077	trxB
G4078	yncN
G4079	ybfN
G4080	lipA
G4081	yffL
G4082	tisB
G4083	dppA
G4084	ypeC
G4085	decoy118
G4086	aroP
G4087	ydaY
G4088	rpmF
G4089	yjeF
G4090	dicC
G4091	ydcV
G4092	dedA
G4093	yhbX
G4094	yfiC
G4095	accD
G4096	ubiX
G4097	yebQ
G4098	glnL
G4099	intB
G4100	lsrD
G4101	mhpC
G4102	miaA
G4103	yfdH
G4104	yjbT
G4105	yfeH
G4106	ilvA
G4107	argO
G4108	hyfE
G4109	fliI
G4110	mscL
G4111	ssuC
G4112	rpsK
G4113	proP
G4114	ydjJ
G4115	prlC
G4116	lpxD
G4117	livM
G4118	yqeA
G4119	fliM
G4120	ysaA
G4121	decoy57
G4122	ycbT
G4123	bioB
G4124	yhhS
G4125	nirB
G4126	ybfG
G4127	zraP
G4128	yccS
G4129	yfhG
G4130	yhiI
G4131	decoy198
G4132	fbp
G4133	ynfK
G4134	treB
G4135	decoy191
G4136	yggE
G4137	yfeW
G4138	torS
G4139	ycfK
G4140	yjiT
G4141	uhpC
G4142	nth
G4143	pyrC
G4144	yjfI
G4145	nagB
G4146	glnA
G4147	fruA
G4148	secD
G4149	malY
G4150	fruB
G4151	yiaL
G4152	htpX
G4153	yjgN
G4154	yihA
G4155	decoy130
G4156	yjiS
G4157	tdcG
G4158	yaaU
G4159	yfjP
G4160	wbbI
G4161	yaeB
G4162	ycfJ
G4163	bcp
G4164	yidB
G4165	rplA
G4166	nrdD
G4167	ynfF
G4168	malQ
G4169	pepP
G4170	fhuE
G4171	ykfK
G4172	ribF
G4173	mglB
G4174	prpE
G4175	fliC
G4176	atpF
G4177	lar
G4178	yqeF
G4179	yahF
G4180	kdpC
G4181	decoy83
G4182	pheA
G4183	lysS
G4184	yajR
G4185	efeB
G4186	ybdZ
G4187	sanA
G4188	rem
G4189	mipA
G4190	rpsD
G4191	mngA
G4192	ymjC
G4193	yfjM
G4194	flgL
G4195	dcrB
G4196	adhE
G4197	sugE
G4198	rumA
G4199	bglX
G4200	rplL
G4201	yfcG
G4202	mraZ
G4203	yjdO
G4204	yciI
G4205	nlpD
G4206	iscU
G4207	ade
G4208	sbcB
G4209	yrbL
G4210	ytfF
G4211	dicB
G4212	gapA
G4213	gcvB
G4214	kdsC
G4215	ybgA
G4216	yehW
G4217	ydbK
G4218	yjgQ
G4219	pheS
G4220	gltF
G4221	decoy60
G4222	citG
G4223	bamD
G4224	ygiW
G4225	ymgG
G4226	yoeF
G4227	decoy67
G4228	ykgF
G4229	mtr
G4230	xdhC
G4231	ycjM
G4232	plsB
G4233	yjfK
G4234	parE
G4235	nupC
G4236	ybcL
G4237	cpdB
G4238	ppiB
G4239	yihT
G4240	yjdJ
G4241	dapF
G4242	ygiQ
G4243	acnB
G4244	mdtC
G4245	nrfE
G4246	aroG
G4247	ygjP
G4248	rcsF
G4249	yrbB
G4250	pgpA
G4251	nikD
G4252	purM
G4253	yidH
G4254	srmB
G4255	dppB
G4256	decoy42
G4257	ydaS
G4258	decoy40
G4259	yjcD
G4260	ydfG
G4261	decoy121
G4262	yobB
G4263	psuG
G4264	yhfL
G4265	ribA
G4266	yahA
G4267	yjbL
G4268	wcaD
G4269	yqjD
G4270	nanT
G4271	gadB
G4272	rpmC
G4273	glvC
G4274	ygeW
G4275	ulaG
G4276	cusB
G4277	puuC
G4278	yheT
G4279	nrdI
G4280	decoy146
G4281	ycgL
G4282	ychH
G4283	rutE
G4284	yfcH
G4285	rfaE
G4286	fucK
G4287	lptB
G4288	ythA
G4289	ykgQ
G4290	perR
G4291	yebA
G4292	yghJ
G4293	arsC
G4294	yicI
G4295	dnaE
G4296	cyoD
G4297	decoy70
G4298	yfeO
G4299	thiS
G4300	guaA
G4301	pitA
G4302	cysS
G4303	sucA
G4304	folK
G4305	gntU
G4306	tsr
G4307	decoy44
G4308	decoy193
G4309	eptB
G4310	decoy91
G4311	gmhB
G4312	dctR
G4313	ycaP
G4314	gnd
G4315	ycjQ
G4316	ycbG
G4317	nfo
G4318	mokC
G4319	rrsC
G4320	mdtH
G4321	yhfS
G4322	infB
G4323	chiA
G4324	coaA
G4325	decoy123
G4326	bglA
G4327	chbF
G4328	yfiM
G4329	fimF
G4330	caiE
G4331	yiiX
G4332	fecA
G4333	bglG
G4334	yrfG
G4335	lsrB
G4336	dcuC
G4337	glmZ
G4338	yedN
G4339	yjiD
G4340	yjdN
G4341	phnM
G4342	yeeE
G4343	bglH
G4344	nuoM
G4345	yeaC
G4346	ygdB
G4347	yghU
G4348	zipA
G4349	yjhH
G4350	ydcQ
G4351	fliL
G4352	ribC
G4353	ydaW
G4354	pgaA
G4355	decoy74
G4356	malE
G4357	gfcD
G4358	yceB
G4359	pbpC
G4360	yfaE
G4361	metY
G4362	dsdX
G4363	yraL
G4364	decoy152
G4365	sscR
G4366	yigI
G4367	entC
G4368	gldA
G4369	ravA
G4370	yfaL
G4371	yjiP
G4372	ygdL
G4373	yhbT
G4374	moaB
G4375	insN
G4376	fcl
G4377	ygbK
G4378	yghA
G4379	ypfJ
G4380	hybO
G4381	dkgA
G4382	sodB
G4383	abgT
G4384	decoy133
G4385	glgA
G4386	ybjS
G4387	ynfA
G4388	rlmL
G4389	hyaF
G4390	feoA
G4391	yciX
G4392	sfmF
G4393	ytfJ
G4394	yrdB
G4395	ssuA
G4396	rep
G4397	rutB
G4398	dxs
G4399	psuT
G4400	purD
G4401	ycbV
G4402	ecnB
G4403	yqiG
G4404	recN
G4405	hemY
G4406	yfdG
G4407	mutY
G4408	ynfM
G4409	gnsB
G4410	rhtC
G4411	ndh
G4412	ygjH
G4413	yphC
G4414	yigA
G4415	cyoC
G4416	yeaH
G4417	betA
G4418	yehH
G4419	yciY
G4420	ampC
G4421	dfp
G4422	deoA
G4423	tktA
G4424	renD
G4425	ycbF
G4426	ampH
G4427	decoy178
G4428	torY
G4429	cheR
G4430	qmcA
G4431	dinQ
G4432	ydaL
G4433	yqiK
G4434	cysC
G4435	ssrS
G4436	tilS
G4437	yfdZ
G4438	narV
G4439	yebE
G4440	ygaF
G4441	ynaA
G4442	ynjF
G4443	decoy214
G4444	yqgA
G4445	tadA
G4446	yraQ
G4447	lpd
G4448	ydjY
G4449	ycgJ
G4450	yghT
G4451	pmrD
G4452	ppc
G4453	gadY
G4454	rarD
G4455	pntB
G4456	trpE
G4457	yadI
G4458	decoy54
G4459	yagN
G4460	ugpQ
G4461	dcd
G4462	ybjD
G4463	wzxC
G4464	idnK
G4465	sseA
G4466	yeeX
G4467	atpD
G4468	yicJ
G4469	sgbH
G4470	arnE
G4471	yraR
G4472	ydfX
G4473	ffh
G4474	ydiI
G4475	wbbJ
G4476	metF
G4477	thiF
G4478	rydC
G4479	ynjA
G4480	yidC
G4481	artP
G4482	ybiW
G4483	yfcN
G4484	eutC
G4485	yfjD
G4486	lepA
G4487	nhaB
G4488	purF
G4489	ygaM
G4490	yaaJ
G4491	yifE
G4492	cysN
G4493	kefC
G4494	aslB
G4495	ydjM
G4496	wrbA
G4497	isrA
G4498	ydcZ
G4499	ychN
G4500	sixA
G4501	eamB
G4502	aas
G4503	yqeG
G4504	pta
G4505	trpD
G4506	puuE
G4507	ybdK
G4508	yahJ
G4509	yaiT
G4510	ydcW
G4511	decoy76
